,activity,location,npoints,start_time,end_time,start_lat,start_lon,length,mean_snow_depth_m,mean_ice_thickness_m,mean_pond_depth_m
63,20200410_PS122-3_35-112,ridgeA1,48,2020-04-10 13:13:53,2020-04-10 13:18:49,84.3689266,14.5822967,52.5570645539881,0.5318479166666666,4.8351451388888895,0.0
64,20200410_PS122-3_35-112,ridgeA2,48,2020-04-10 13:40:04,2020-04-10 13:46:54,84.3678883,14.582235,54.50503995924499,0.6327160416666667,4.424054791666667,0.0
65,20200410_PS122-3_35-112,ridgeA3,48,2020-04-10 13:26:52,2020-04-10 13:32:20,84.3683733,14.583185,51.63378352430124,0.5265133333333333,4.153097777777778,0.0
66,20200410_PS122-3_35-114,ridgeD,110,2020-04-10 12:26:38,2020-04-10 12:38:14,84.3750483,14.58218,116.20775249489392,0.30654845454545465,4.105118212121212,0.0
67,20200416_PS122-3_36-145,ridgeD,95,2020-04-16 12:43:29,2020-04-16 12:48:58,84.3361333,13.052095,113.38260260539111,0.37093642105263164,2.6271723508771934,0.0
68,20200416_PS122-3_36-153,Nloop,950,2020-04-16 11:32:01,2020-04-16 12:25:41,84.3281417,13.08071167,1275.0843009469145,0.2942859894736842,2.975822491729325,0.0
69,20200424_PS122-3_37-82,Nloop,972,2020-04-24 11:32:53,2020-04-24 12:37:19,84.04923167,15.89317,1359.212205412654,0.30041482510288064,2.904301870958261,0.0
70,20200424_PS122-3_37-83,ridgeD,89,2020-04-24 12:48:35,2020-04-24 12:54:29,84.048655,15.8533884,115.73873676205642,0.3634426966292135,2.3675947565543076,0.0
71,20200424_PS122-3_37-84,ridgeE,32,2020-04-24 13:02:56,2020-04-24 13:05:04,84.04547833,15.8813334,39.55987143183728,0.475234375,0.4601822916666667,0.0
72,20200426_PS122-3_37-134,Sloop,1106,2020-04-26 14:24:14,2020-04-26 15:25:39,83.92373,15.52448,1499.3542227747646,0.27224274864376125,1.945471046241281,0.0
73,20200430_PS122-3_38-80,Nloop,967,2020-04-30 13:24:11,2020-04-30 14:20:00,83.925305,17.494305,1324.6830161070172,0.2956935367114788,3.094027396956715,0.0
